id,name,calories,protein,carbs,fat,ingredients,tags
19,Egg White Scramble,220,28,4,8,"egg whites,spinach,tomato,mushrooms","vegetarian,gluten-free,keto,high-protein,low-carb"
20,Chickpea Curry,360,14,52,10,"chickpeas,coconut milk,curry powder,tomato,spinach","vegan,gluten-free"
21,Grilled Steak,480,52,2,28,"beef,butter,garlic,thyme","gluten-free,high-protein,keto,low-carb"
22,Cauliflower Rice Bowl,260,12,28,12,"cauliflower,chicken,soy sauce,vegetables","gluten-free,low-carb"
23,Peanut Butter Banana Smoothie,380,16,52,12,"peanut butter,banana,protein powder,almond milk",vegetarian
24,Seared Tuna Steak,340,46,0,16,"tuna,sesame oil,soy sauce,ginger","pescatarian,gluten-free,high-protein,keto,low-carb"
25,Veggie Burger,420,22,48,16,"black beans,quinoa,vegetables,bun",vegan
26,Cottage Cheese Bowl,260,28,18,8,"cottage cheese,pineapple,almonds,honey","vegetarian,gluten-free,high-protein"
27,Chicken Alfredo,620,38,54,26,"chicken,pasta,cream,parmesan,butter",high-protein
28,Mixed Green Salad,180,6,14,12,"lettuce,cucumber,tomato,olive oil,vinegar","vegan,gluten-free,healthy,low-carb"
29,Salmon Sushi Bowl,420,32,48,12,"salmon,rice,avocado,cucumber,seaweed","pescatarian,gluten-free"
30,Beef Lasagna,580,36,42,28,"beef,pasta,cheese,tomato sauce",high-protein
31,Protein Smoothie,320,32,28,8,"whey protein,banana,almond milk,peanut butter","vegetarian,gluten-free,high-protein"
32,Zucchini Noodles with Pesto,280,12,18,18,"zucchini,basil,pine nuts,parmesan,olive oil","vegetarian,gluten-free,keto,low-carb"
33,Chicken Teriyaki,450,40,42,12,"chicken,rice,teriyaki sauce,broccoli",high-protein
34,Hummus Wrap,360,14,48,12,"hummus,whole wheat tortilla,lettuce,tomato,cucumber",vegan
35,Baked Salmon,420,44,0,26,"salmon,lemon,dill,butter","pescatarian,gluten-free,high-protein,keto,low-carb"
36,Mushroom Risotto,440,14,62,14,"rice,mushrooms,parmesan,white wine,vegetable broth","vegetarian,gluten-free"
37,Turkey Meatballs,360,42,12,16,"turkey,eggs,breadcrumbs,herbs",high-protein
38,Chia Seed Pudding,240,8,28,12,"chia seeds,almond milk,honey,berries","vegan,gluten-free"
39,Grilled Chicken Salad,320,44,12,10,"chicken,lettuce,tomato,cucumber,balsamic vinegar","gluten-free,high-protein,healthy,low-carb"
40,Sweet Potato Bowl,380,12,64,10,"sweet potato,black beans,avocado,lime","vegan,gluten-free"
41,Tuna Poke Bowl,400,36,44,10,"tuna,rice,edamame,avocado,soy sauce","pescatarian,gluten-free,high-protein"
42,Egg Frittata,340,24,8,24,"eggs,cheese,vegetables,herbs","vegetarian,gluten-free,keto,high-protein,low-carb"
43,Chicken Noodle Soup,280,24,32,6,"chicken,noodles,carrots,celery,chicken broth",high-protein
44,Almond Butter Toast,320,12,38,14,"almond butter,whole grain bread,banana",vegan
45,Shrimp Scampi,360,32,24,14,"shrimp,pasta,garlic,butter,white wine,lemon","pescatarian,high-protein"
46,Veggie Stir Fry,260,10,38,8,"tofu,broccoli,bell pepper,soy sauce,rice","vegan,gluten-free"
47,Steak Salad,420,46,10,22,"beef,mixed greens,tomato,blue cheese,balsamic","gluten-free,high-protein,low-carb"
48,Oatmeal with Berries,280,10,48,6,"oats,blueberries,strawberries,honey,almonds",vegan
49,Grilled Mahi Mahi,300,38,0,14,"mahi mahi,lime,cilantro,olive oil","pescatarian,gluten-free,high-protein,keto,low-carb"
50,Caprese Salad,260,14,12,18,"mozzarella,tomato,basil,olive oil,balsamic","vegetarian,gluten-free,keto,low-carb"
51,Chicken Quesadilla,353,26,47,38,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
52,Lentil Salad,356,28,51,40,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
53,Protein Bar,359,30,55,7,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
54,Baked Tilapia,362,32,59,9,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
55,Veggie Pizza,365,34,8,11,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free,keto,low-carb"
56,Greek Salad,368,36,12,13,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free,keto,low-carb"
57,Beef Tacos,371,38,16,15,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free,low-carb"
58,Açai Bowl,374,40,20,17,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
59,Grilled Shrimp Skewers,377,42,24,19,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
60,Chickpea Salad,380,44,28,21,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
61,Turkey Burger,383,46,32,23,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
62,Kale Caesar Salad,386,48,36,25,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
63,Protein Waffle,389,50,40,27,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
64,Baked Halibut,392,52,44,29,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
65,Margherita Pizza,395,11,48,31,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free"
66,Edamame Bowl,398,13,52,33,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free"
67,Chicken Curry,401,15,56,35,"chicken,vegetables,olive oil,herbs",healthy
68,Walnut Salad,404,17,60,37,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
69,Turkey Chili,407,19,9,39,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free,keto,low-carb"
70,Fruit Smoothie,410,21,13,6,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free,keto,low-carb"
71,Grilled Swordfish,413,23,17,8,"chicken,vegetables,olive oil,herbs","healthy,low-carb"
72,Roasted Vegetable Bowl,416,25,21,10,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
73,Chicken Shawarma,419,27,25,12,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
74,Nut Mix Snack,422,29,29,14,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
75,Crab Cakes,425,31,33,16,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
76,Falafel Wrap,428,33,37,18,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
77,Sirloin Steak,431,35,41,20,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
78,Arugula Salad,434,37,45,22,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
79,BBQ Chicken,437,39,49,24,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
80,Green Smoothie,440,41,53,26,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
81,Lobster Tail,443,43,57,28,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
82,Ratatouille,446,45,61,30,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
83,Chicken Pesto Pasta,449,47,10,32,"chicken,vegetables,olive oil,herbs","healthy,high-protein,keto,low-carb"
84,Protein Ball,452,49,14,34,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free,keto,low-carb"
85,Sea Bass,455,51,18,36,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free,low-carb"
86,Stuffed Bell Peppers,458,10,22,38,"chicken,vegetables,olive oil,herbs","healthy,gluten-free"
87,Vegan Burrito Bowl,461,12,26,40,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free"
88,Spinach Salad,464,14,30,7,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
89,Lamb Chops,467,16,34,9,"chicken,vegetables,olive oil,herbs",healthy
90,Vegetable Soup,470,18,38,11,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free"
91,Teriyaki Salmon,473,20,42,13,"chicken,vegetables,olive oil,herbs",healthy
92,Cauliflower Pizza,476,22,46,15,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
93,Chicken Enchiladas,479,24,50,17,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free"
94,Smoothie Bowl,482,26,54,19,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
95,Grilled Trout,485,28,58,21,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
96,Butternut Squash Soup,488,30,62,23,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
97,Turkey Wrap,491,32,11,25,"chicken,vegetables,olive oil,herbs","healthy,high-protein,keto,low-carb"
98,Mixed Nuts,494,34,15,27,"chicken,vegetables,olive oil,herbs","healthy,high-protein,low-carb,gluten-free"
99,Fish Tacos,497,36,19,29,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free,low-carb"
100,Tomato Basil Soup,500,38,23,31,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
101,Bison Burger,503,40,27,33,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
102,Berry Parfait,506,42,31,35,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
103,Grilled Mackerel,509,44,35,37,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
104,Vegetable Curry,512,46,39,39,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
105,Chicken Wings,515,48,43,6,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
106,Cucumber Salad,518,50,47,8,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
107,Pork Chops,521,52,51,10,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
108,Minestrone Soup,524,11,55,12,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
109,Tuna Sandwich,527,13,59,14,"chicken,vegetables,olive oil,herbs",healthy
110,Apple Cinnamon Oatmeal,530,15,8,16,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free,keto,low-carb"
111,Scallops,533,17,12,18,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free,keto,low-carb"
112,Eggplant Parmesan,536,19,16,20,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free,low-carb"
113,Pulled Chicken Sandwich,539,21,20,22,"chicken,vegetables,olive oil,herbs",healthy
114,Protein Shake,542,23,24,24,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free"
115,Grilled Sardines,545,25,28,26,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
116,Pasta Primavera,548,27,32,28,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
117,Beef Burrito,551,29,36,30,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
118,Green Juice,554,31,40,32,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
119,Duck Breast,557,33,44,34,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
120,Carrot Ginger Soup,560,35,48,36,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
121,Chicken Souvlaki,563,37,52,38,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
122,Trail Mix,566,39,56,40,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
123,Anchovy Pizza,569,41,60,7,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
124,Lentil Curry,572,43,9,9,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free,keto,low-carb"
125,Ribeye Steak,575,45,13,11,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free,keto,low-carb"
126,Coleslaw,578,47,17,13,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free,low-carb"
127,Venison Steak,581,49,21,15,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
128,Gazpacho,584,51,25,17,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
129,Chicken Pot Pie,587,10,29,19,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free"
130,Cottage Cheese Pancakes,590,12,33,21,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free"
131,Oysters,593,14,37,23,"chicken,vegetables,olive oil,herbs",healthy
132,Mushroom Soup,596,16,41,25,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
133,Meatloaf,599,18,45,27,"chicken,vegetables,olive oil,herbs",healthy
134,Chia Breakfast Bowl,602,20,49,29,"chicken,vegetables,olive oil,herbs","healthy,gluten-free"
135,Clam Chowder,605,22,53,31,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free"
136,Portobello Burger,608,24,57,33,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
137,Lamb Curry,611,26,61,35,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
138,Breakfast Burrito,614,28,10,37,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free,keto,low-carb"
139,Mussels,617,30,14,39,"chicken,vegetables,olive oil,herbs","healthy,high-protein,keto,low-carb"
140,Roasted Brussels Sprouts,620,32,18,6,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free,low-carb"
141,Chicken Marsala,623,34,22,8,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
142,Pumpkin Seeds,626,36,26,10,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
143,Paella,629,38,30,12,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
144,Sweet Potato Fries,632,40,34,14,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
145,Turkey Meatloaf,635,42,38,16,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
146,Energy Balls,638,44,42,18,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
147,Salmon Burger,641,46,46,20,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
148,Asparagus Soup,644,48,50,22,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
149,Beef Stroganoff,647,50,54,24,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
150,Granola Bar,200,52,58,26,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
151,Tuna Steak,203,11,62,28,"chicken,vegetables,olive oil,herbs",healthy
152,Broccoli Cheddar Soup,206,13,11,30,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free,keto,low-carb"
153,Pork Tenderloin,209,15,15,32,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free,low-carb"
154,Rice Cakes,212,17,19,34,"chicken,vegetables,olive oil,herbs","healthy,low-carb,gluten-free"
155,Sardine Salad,215,19,23,36,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free"
156,French Onion Soup,218,21,27,38,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
157,Chicken Tikka Masala,221,23,31,40,"chicken,vegetables,olive oil,herbs",healthy
158,Apple Slices with Almond Butter,224,25,35,7,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
159,Cod Fish Cakes,227,27,39,9,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
160,Beet Salad,230,29,43,11,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
161,Veal Chop,233,31,47,13,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
162,Protein Muffin,236,33,51,15,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
163,Octopus Salad,239,35,55,17,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
164,Cabbage Soup,242,37,59,19,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
165,Lamb Kebab,245,39,8,21,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free,keto,low-carb"
166,Banana Bread,248,41,12,23,"chicken,vegetables,olive oil,herbs","healthy,high-protein,keto,low-carb,gluten-free"
167,Shrimp Cocktail,251,43,16,25,"chicken,vegetables,olive oil,herbs","healthy,high-protein,low-carb"
168,Squash Casserole,254,45,20,27,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
169,Brisket,257,47,24,29,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
170,Rice Pudding,260,49,28,31,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
171,Ceviche,263,51,32,33,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
172,Kale Chips,266,10,36,35,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
173,Pork Belly,269,12,40,37,"chicken,vegetables,olive oil,herbs",healthy
174,Black Bean Soup,272,14,44,39,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free"
175,Quail,275,16,48,6,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free"
176,Protein Cookie,278,18,52,8,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
177,Smoked Salmon Plate,281,20,56,10,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free"
178,Potato Leek Soup,284,22,60,12,"chicken,vegetables,olive oil,herbs","healthy,gluten-free"
179,Elk Steak,287,24,9,14,"chicken,vegetables,olive oil,herbs","healthy,keto,low-carb"
180,Veggie Chips,290,26,13,16,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free,keto,low-carb"
181,Catfish,293,28,17,18,"chicken,vegetables,olive oil,herbs","healthy,high-protein,low-carb"
182,Cream of Celery Soup,296,30,21,20,"chicken,vegetables,olive oil,herbs","healthy,high-protein,gluten-free"
183,Rabbit Stew,299,32,25,22,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
184,Hummus Plate,302,34,29,24,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
185,Grouper,305,36,33,26,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
186,Split Pea Soup,308,38,37,28,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
187,Boar Sausage,311,40,41,30,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
188,Quinoa Salad,314,42,45,32,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
189,Barramundi,317,44,49,34,"chicken,vegetables,olive oil,herbs","healthy,high-protein,pescatarian,gluten-free"
190,White Bean Soup,320,46,53,36,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegan,gluten-free"
191,Pheasant,323,48,57,38,"chicken,vegetables,olive oil,herbs","healthy,high-protein"
192,Edamame Hummus,326,50,61,40,"chicken,vegetables,olive oil,herbs","healthy,high-protein,vegetarian,gluten-free"
193,Pompano,329,52,10,7,"chicken,vegetables,olive oil,herbs","healthy,high-protein,keto,low-carb"
194,Navy Bean Soup,332,11,14,9,"chicken,vegetables,olive oil,herbs","healthy,keto,low-carb,gluten-free"
195,Bison Steak,335,13,18,11,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free,low-carb"
196,Baba Ganoush,338,15,22,13,"chicken,vegetables,olive oil,herbs","healthy,vegetarian,gluten-free"
197,Monkfish,341,17,26,15,"chicken,vegetables,olive oil,herbs",healthy
198,Pinto Bean Chili,344,19,30,17,"chicken,vegetables,olive oil,herbs","healthy,pescatarian,gluten-free"
199,Ostrich,347,21,34,19,"chicken,vegetables,olive oil,herbs",healthy
200,Muhammara,350,23,38,21,"chicken,vegetables,olive oil,herbs","healthy,vegan,gluten-free"
